Model:    gemma3:4b
  [1166/1500] B26 → 7  EV=6.70
  [1167/1500] B27 → 1  EV=1.01
  [1168/1500] B28 → 1  EV=1.04
  [1169/1500] B29 → 7  EV=6.89
  [1170/1500] B30 → 1  EV=2.43
  [1171/1500] B01 → 7  EV=7.00
  [1172/1500] B02 → 7  EV=7.00
  [1173/1500] B03 → 7  EV=7.00
  [1174/1500] B04 → 7  EV=7.00
  [1175/1500] B05 → 7  EV=6.99
  [1176/1500] B06 → 3  EV=3.08
  [1177/1500] B07 → 7  EV=7.00
  [1178/1500] B08 → 7  EV=7.00
  [1179/1500] B09 → 7  EV=6.99
  [1180/1500] B10 → 7  EV=7.00
  [1181/1500] B11 → 7  EV=6.46
  [1182/1500] B12 → 7  EV=7.00
  [1183/1500] B13 → 7  EV=7.00
  [1184/1500] B14 → 7  EV=6.98
  [1185/1500] B15 → 3  EV=2.98
  [1186/1500] B16 → 7  EV=6.99
  [1187/1500] B17 → 7  EV=6.99
  [1188/1500] B18 → 7  EV=7.00
  [1189/1500] B19 → 7  EV=7.00
  [1190/1500] B20 → 7  EV=7.00
  [1191/1500] B21 → 7  EV=7.00
  [1192/1500] B22 → 7  EV=7.00
  [1193/1500] B23 → 7  EV=7.00
  [1194/1500] B24 → 7  EV=7.00
  [1195/1500] B25 → 3  EV=3.19
  [1196/1500] B26 → 7  EV=6.98
  [1197/1500] B27 → 7  EV=6.88
  [1198/1500] B28 → 7  EV=6.87
  [1199/1500] B29 → 7  EV=7.00
  [1200/1500] B30 → 7  EV=7.00

  Checkpoint: 1200/1500 (0.8 prompts/sec)

  [1201/1500] B01 → 3  EV=2.96
  [1202/1500] B02 → 3  EV=3.00
  [1203/1500] B03 → 7  EV=6.98
  [1204/1500] B04 → 3  EV=3.09
  [1205/1500] B05 → 7  EV=5.83
  [1206/1500] B06 → 7  EV=6.60
  [1207/1500] B07 → 7  EV=6.35
  [1208/1500] B08 → 3  EV=3.15
  [1209/1500] B09 → 2  EV=3.13
  [1210/1500] B10 → 7  EV=7.00
  [1211/1500] B11 → 1  EV=1.36
  [1212/1500] B12 → 3  EV=4.23
  [1213/1500] B13 → 3  EV=3.15
  [1214/1500] B14 → 2  EV=2.65
  [1215/1500] B15 → 7  EV=5.40
  [1216/1500] B16 → 1  EV=3.10
  [1217/1500] B17 → 2  EV=1.97
  [1218/1500] B18 → 3  EV=4.39
  [1219/1500] B19 → 3  EV=2.97
  [1220/1500] B20 → 2  EV=2.23
  [1221/1500] B21 → 7  EV=5.19
  [1222/1500] B22 → 7  EV=6.91
  [1223/1500] B23 → 7  EV=7.00
  [1224/1500] B24 → 7  EV=6.22
  [1225/1500] B25 → 7  EV=6.59
  [1226/1500] B26 → 1  EV=2.81
  [1227/1500] B27 → 2  EV=2.04
  [1228/1500] B28 → 1  EV=1.15
  [1229/1500] B29 → 7  EV=6.99
  [1230/1500] B30 → 7  EV=7.00
  [1231/1500] B01 → 3  EV=2.91
  [1232/1500] B02 → 3  EV=3.00
  [1233/1500] B03 → 3  EV=3.00
  [1234/1500] B04 → 3  EV=2.84
  [1235/1500] B05 → 2  EV=3.48
  [1236/1500] B06 → 2  EV=2.12
  [1237/1500] B07 → 3  EV=2.99
  [1238/1500] B08 → 3  EV=3.00
  [1239/1500] B09 → 3  EV=3.00
  [1240/1500] B10 → 3  EV=3.01
  [1241/1500] B11 → 2  EV=2.09
  [1242/1500] B12 → 3  EV=3.00
  [1243/1500] B13 → 3  EV=3.01
  [1244/1500] B14 → 3  EV=2.88
  [1245/1500] B15 → 3  EV=2.12
  [1246/1500] B16 → 2  EV=2.17
  [1247/1500] B17 → 3  EV=3.00
  [1248/1500] B18 → 3  EV=3.00
  [1249/1500] B19 → 3  EV=2.91
  [1250/1500] B20 → 3  EV=2.96
  [1251/1500] B21 → 3  EV=3.10
  [1252/1500] B22 → 3  EV=3.01
  [1253/1500] B23 → 7  EV=6.84
  [1254/1500] B24 → 3  EV=2.90
  [1255/1500] B25 → 3  EV=2.90
  [1256/1500] B26 → 3  EV=2.66
  [1257/1500] B27 → 3  EV=2.80
  [1258/1500] B28 → 3  EV=2.98
  [1259/1500] B29 → 3  EV=3.00
  [1260/1500] B30 → 3  EV=3.30
  [1261/1500] B01 → 3  EV=2.99
  [1262/1500] B02 → 3  EV=2.94
  [1263/1500] B03 → 3  EV=3.22
  [1264/1500] B04 → 3  EV=2.67
  [1265/1500] B05 → 7  EV=6.86
  [1266/1500] B06 → 3  EV=3.91
  [1267/1500] B07 → 3  EV=4.26
  [1268/1500] B08 → 2  EV=2.29
  [1269/1500] B09 → 3  EV=4.00
  [1270/1500] B10 → 6  EV=4.15
  [1271/1500] B11 → 7  EV=5.56
  [1272/1500] B12 → 7  EV=4.77
  [1273/1500] B13 → 3  EV=2.71
  [1274/1500] B14 → 3  EV=2.89
  [1275/1500] B15 → 1  EV=1.93
  [1276/1500] B16 → 3  EV=2.68
  [1277/1500] B17 → 3  EV=2.81
  [1278/1500] B18 → 2  EV=3.33
  [1279/1500] B19 → 3  EV=2.96
  [1280/1500] B20 → 2  EV=2.43
  [1281/1500] B21 → 3  EV=3.31
  [1282/1500] B22 → 3  EV=2.99
  [1283/1500] B23 → 3  EV=4.44
  [1284/1500] B24 → 7  EV=4.66
  [1285/1500] B25 → 7  EV=6.20
  [1286/1500] B26 → 3  EV=3.59
  [1287/1500] B27 → 2  EV=2.08
  [1288/1500] B28 → 2  EV=2.40
  [1289/1500] B29 → 7  EV=6.57
  [1290/1500] B30 → 7  EV=5.94
  [1291/1500] B01 → 7  EV=6.99
  [1292/1500] B02 → 7  EV=7.00
  [1293/1500] B03 → 7  EV=6.99
  [1294/1500] B04 → 1  EV=2.34
  [1295/1500] B05 → 7  EV=5.75
  [1296/1500] B06 → 1  EV=2.37
  [1297/1500] B07 → 7  EV=4.84
  [1298/1500] B08 → 7  EV=6.98
  [1299/1500] B09 → 1  EV=1.17
  [1300/1500] B10 → 7  EV=7.00

  Checkpoint: 1300/1500 (0.8 prompts/sec)

  [1301/1500] B11 → 1  EV=1.26
  [1302/1500] B12 → 7  EV=6.98
  [1303/1500] B13 → 7  EV=7.00
  [1304/1500] B14 → 7  EV=7.00
  [1305/1500] B15 → 1  EV=1.08
  [1306/1500] B16 → 1  EV=1.01
  [1307/1500] B17 → 1  EV=1.01
  [1308/1500] B18 → 7  EV=7.00
  [1309/1500] B19 → 7  EV=6.71
  [1310/1500] B20 → 1  EV=1.06
  [1311/1500] B21 → 7  EV=4.25
  [1312/1500] B22 → 7  EV=6.71
  [1313/1500] B23 → 7  EV=7.00
  [1314/1500] B24 → 1  EV=1.01
  [1315/1500] B25 → 7  EV=5.56
  [1316/1500] B26 → 7  EV=6.94
  [1317/1500] B27 → 1  EV=1.01
  [1318/1500] B28 → 1  EV=1.00
  [1319/1500] B29 → 7  EV=6.99
  [1320/1500] B30 → 7  EV=6.56
  [1321/1500] B01 → 3  EV=3.00
  [1322/1500] B02 → 3  EV=3.47
  [1323/1500] B03 → 3  EV=3.11
  [1324/1500] B04 → 3  EV=3.00
  [1325/1500] B05 → 3  EV=3.00
  [1326/1500] B06 → 3  EV=3.59
  [1327/1500] B07 → 3  EV=3.00
  [1328/1500] B08 → 7  EV=6.39
  [1329/1500] B09 → 3  EV=3.03
  [1330/1500] B10 → 3  EV=3.36
  [1331/1500] B11 → 3  EV=2.84
  [1332/1500] B12 → 3  EV=3.09
  [1333/1500] B13 → 7  EV=6.89
  [1334/1500] B14 → 3  EV=2.78
  [1335/1500] B15 → 3  EV=3.00
  [1336/1500] B16 → 2  EV=2.48
  [1337/1500] B17 → 3  EV=3.00
  [1338/1500] B18 → 3  EV=3.00
  [1339/1500] B19 → 7  EV=6.87
  [1340/1500] B20 → 3  EV=2.89
  [1341/1500] B21 → 3  EV=3.19
  [1342/1500] B22 → 3  EV=3.01
  [1343/1500] B23 → 3  EV=3.00
  [1344/1500] B24 → 3  EV=2.93
  [1345/1500] B25 → 3  EV=3.00
  [1346/1500] B26 → 7  EV=5.67
  [1347/1500] B27 → 3  EV=2.77
  [1348/1500] B28 → 3  EV=3.00
  [1349/1500] B29 → 3  EV=3.05
  [1350/1500] B30 → 3  EV=3.48
  [1351/1500] B01 → 7  EV=6.94
  [1352/1500] B02 → 7  EV=6.78
  [1353/1500] B03 → 7  EV=7.00
  [1354/1500] B04 → 7  EV=6.98
  [1355/1500] B05 → 7  EV=6.99
  [1356/1500] B06 → 7  EV=7.00
  [1357/1500] B07 → 7  EV=7.00
  [1358/1500] B08 → 7  EV=7.00
  [1359/1500] B09 → 7  EV=7.00
  [1360/1500] B10 → 7  EV=7.00
  [1361/1500] B11 → 7  EV=6.67
  [1362/1500] B12 → 7  EV=6.99
  [1363/1500] B13 → 7  EV=7.00
  [1364/1500] B14 → 7  EV=7.00
  [1365/1500] B15 → 7  EV=5.77
  [1366/1500] B16 → 1  EV=2.00
  [1367/1500] B17 → 7  EV=6.91
  [1368/1500] B18 → 7  EV=7.00
  [1369/1500] B19 → 7  EV=6.99
  [1370/1500] B20 → 1  EV=1.02
  [1371/1500] B21 → 7  EV=7.00
  [1372/1500] B22 → 7  EV=7.00
  [1373/1500] B23 → 7  EV=7.00
  [1374/1500] B24 → 7  EV=6.04
  [1375/1500] B25 → 1  EV=1.02
  [1376/1500] B26 → 1  EV=2.03
  [1377/1500] B27 → 7  EV=6.96
  [1378/1500] B28 → 1  EV=1.93
  [1379/1500] B29 → 7  EV=7.00
  [1380/1500] B30 → 7  EV=7.00
  [1381/1500] B01 → 7  EV=7.00
  [1382/1500] B02 → 7  EV=6.98
  [1383/1500] B03 → 7  EV=7.00
  [1384/1500] B04 → 7  EV=7.00
  [1385/1500] B05 → 7  EV=6.97
  [1386/1500] B06 → 3  EV=3.01
  [1387/1500] B07 → 3  EV=3.73
  [1388/1500] B08 → 7  EV=7.00
  [1389/1500] B09 → 7  EV=6.99
  [1390/1500] B10 → 7  EV=7.00
  [1391/1500] B11 → 3  EV=2.98
  [1392/1500] B12 → 7  EV=7.00
  [1393/1500] B13 → 7  EV=7.00
  [1394/1500] B14 → 7  EV=7.00
  [1395/1500] B15 → 1  EV=1.25
  [1396/1500] B16 → 7  EV=3.97
  [1397/1500] B17 → 7  EV=5.82
  [1398/1500] B18 → 7  EV=6.99
  [1399/1500] B19 → 7  EV=6.97
  [1400/1500] B20 → 7  EV=6.96

  Checkpoint: 1400/1500 (0.8 prompts/sec)

  [1401/1500] B21 → 7  EV=7.00
  [1402/1500] B22 → 7  EV=7.00
  [1403/1500] B23 → 7  EV=7.00
  [1404/1500] B24 → 7  EV=6.99
  [1405/1500] B25 → 7  EV=6.45
  [1406/1500] B26 → 7  EV=6.98
  [1407/1500] B27 → 7  EV=6.80
  [1408/1500] B28 → 3  EV=3.00
  [1409/1500] B29 → 7  EV=6.97
  [1410/1500] B30 → 7  EV=7.00
  [1411/1500] B01 → 7  EV=7.00
  [1412/1500] B02 → 7  EV=7.00
  [1413/1500] B03 → 7  EV=7.00
  [1414/1500] B04 → 7  EV=7.00
  [1415/1500] B05 → 7  EV=7.00
  [1416/1500] B06 → 7  EV=7.00
  [1417/1500] B07 → 7  EV=7.00
  [1418/1500] B08 → 7  EV=7.00
  [1419/1500] B09 → 7  EV=7.00
  [1420/1500] B10 → 7  EV=7.00
  [1421/1500] B11 → 7  EV=7.00
  [1422/1500] B12 → 7  EV=7.00
  [1423/1500] B13 → 7  EV=7.00
  [1424/1500] B14 → 7  EV=7.00
  [1425/1500] B15 → 7  EV=6.99
  [1426/1500] B16 → 7  EV=6.84
  [1427/1500] B17 → 7  EV=6.89
  [1428/1500] B18 → 7  EV=7.00
  [1429/1500] B19 → 7  EV=7.00
  [1430/1500] B20 → 7  EV=6.99
  [1431/1500] B21 → 7  EV=7.00
  [1432/1500] B22 → 7  EV=7.00
  [1433/1500] B23 → 7  EV=7.00
  [1434/1500] B24 → 7  EV=7.00
  [1435/1500] B25 → 7  EV=7.00
  [1436/1500] B26 → 7  EV=7.00
  [1437/1500] B27 → 7  EV=6.33
  [1438/1500] B28 → 7  EV=7.00
  [1439/1500] B29 → 7  EV=7.00
  [1440/1500] B30 → 7  EV=7.00
  [1441/1500] B01 → 3  EV=3.45
  [1442/1500] B02 → 7  EV=6.91
  [1443/1500] B03 → 3  EV=3.14
  [1444/1500] B04 → 7  EV=6.95
  [1445/1500] B05 → 3  EV=2.63
  [1446/1500] B06 → 3  EV=2.65
  [1447/1500] B07 → 3  EV=2.89
  [1448/1500] B08 → 7  EV=6.91
  [1449/1500] B09 → 3  EV=2.81
  [1450/1500] B10 → 7  EV=6.60
  [1451/1500] B11 → 3  EV=2.94
  [1452/1500] B12 → 3  EV=3.00
  [1453/1500] B13 → 7  EV=6.87
  [1454/1500] B14 → 3  EV=3.00
  [1455/1500] B15 → 2  EV=2.15
  [1456/1500] B16 → 1  EV=1.10
  [1457/1500] B17 → 3  EV=3.00
  [1458/1500] B18 → 3  EV=3.00
  [1459/1500] B19 → 7  EV=6.98
  [1460/1500] B20 → 1  EV=1.80
  [1461/1500] B21 → 7  EV=7.00
  [1462/1500] B22 → 7  EV=6.88
  [1463/1500] B23 → 7  EV=6.96
  [1464/1500] B24 → 3  EV=2.87
  [1465/1500] B25 → 3  EV=2.72
  [1466/1500] B26 → 1  EV=1.07
  [1467/1500] B27 → 2  EV=2.04
  [1468/1500] B28 → 3  EV=2.99
  [1469/1500] B29 → 3  EV=3.00
  [1470/1500] B30 → 7  EV=6.81
  [1471/1500] B01 → 7  EV=7.00
  [1472/1500] B02 → 7  EV=6.99
  [1473/1500] B03 → 7  EV=7.00
  [1474/1500] B04 → 7  EV=6.99
  [1475/1500] B05 → 7  EV=6.83
  [1476/1500] B06 → 7  EV=6.98
  [1477/1500] B07 → 7  EV=6.55
  [1478/1500] B08 → 7  EV=7.00
  [1479/1500] B09 → 7  EV=6.86
  [1480/1500] B10 → 7  EV=6.99
  [1481/1500] B11 → 7  EV=6.98
  [1482/1500] B12 → 7  EV=7.00
  [1483/1500] B13 → 7  EV=6.99
  [1484/1500] B14 → 7  EV=7.00
  [1485/1500] B15 → 7  EV=5.14
  [1486/1500] B16 → 1  EV=1.01
  [1487/1500] B17 → 1  EV=1.36
  [1488/1500] B18 → 7  EV=6.27
  [1489/1500] B19 → 7  EV=6.99
  [1490/1500] B20 → 7  EV=6.99
  [1491/1500] B21 → 7  EV=7.00
  [1492/1500] B22 → 7  EV=7.00
  [1493/1500] B23 → 7  EV=7.00
  [1494/1500] B24 → 7  EV=6.98
  [1495/1500] B25 → 7  EV=7.00
  [1496/1500] B26 → 7  EV=6.54
  [1497/1500] B27 → 2  EV=3.15
  [1498/1500] B28 → 7  EV=5.16
  [1499/1500] B29 → 7  EV=7.00
  [1500/1500] B30 → 7  EV=7.00

  Checkpoint: 1500/1500 (0.8 prompts/sec)


============================================================
Valid responses: 1500/1500
Mean EV: 4.54 (4.0 = no preference)
Mean entropy: 0.299 / 1.946

Trait preferences (mean endorsement, >4 = high trait):
  A: 3.98 (n=600)
  C: 4.07 (n=600)
  E: 4.04 (n=600)
  N: 3.96 (n=600)
  O: 3.95 (n=600)

Completed 1500 new prompts in 1871s (0.8/sec)
Results saved to results/gemma3-4b_gfc30_synthetic-fakegood.json
Model:    gemma3:4b
Pairs:    30 / 30
Personas: 1 (no persona)
Total:    30 prompts
Mode:     remote (Orin)

Connected to Orin server.

  [1/30] B01 → 1  EV=1.42
  [2/30] B02 → 1  EV=1.01
  [3/30] B03 → 1  EV=1.30
  [4/30] B04 → 1  EV=1.03
  [5/30] B05 → 3  EV=3.19
  [6/30] B06 → 1  EV=1.00
  [7/30] B07 → 1  EV=1.00
  [8/30] B08 → 1  EV=1.01
  [9/30] B09 → 3  EV=2.94
  [10/30] B10 → 7  EV=5.42
  [11/30] B11 → 6  EV=5.99
  [12/30] B12 → 7  EV=6.94
  [13/30] B13 → 1  EV=1.00
  [14/30] B14 → 3  EV=3.11
  [15/30] B15 → 1  EV=1.03
  [16/30] B16 → 1  EV=1.01
  [17/30] B17 → 3  EV=2.72
  [18/30] B18 → 1  EV=1.06
  [19/30] B19 → 1  EV=2.53
  [20/30] B20 → 1  EV=1.00
  [21/30] B21 → 1  EV=1.03
  [22/30] B22 → 7  EV=6.96
  [23/30] B23 → 1  EV=2.59
  [24/30] B24 → 1  EV=1.02
  [25/30] B25 → 1  EV=1.15
  [26/30] B26 → 7  EV=4.76
  [27/30] B27 → 1  EV=1.00
  [28/30] B28 → 3  EV=2.48
  [29/30] B29 → 7  EV=6.99
  [30/30] B30 → 7  EV=7.00

============================================================
Valid responses: 30/30
Mean EV: 2.69 (4.0 = no preference)
Mean entropy: 0.331 / 1.946

Trait preferences (mean endorsement, >4 = high trait):
  A: 4.36 (n=12)
  C: 3.06 (n=12)
  E: 3.81 (n=12)
  N: 3.65 (n=12)
  O: 5.12 (n=12)

Completed 30 new prompts in 36s (0.8/sec)
Results saved to results/gemma3-4b_gfc30_neutral-bare.json
Model:    gemma3:4b
Pairs:    30 / 30
Personas: 1 (no persona)
Total:    30 prompts
Mode:     remote (Orin)

Connected to Orin server.

  [1/30] B01 → 7  EV=4.95
  [2/30] B02 → 1  EV=1.90
  [3/30] B03 → 1  EV=3.08
  [4/30] B04 → 1  EV=1.13
  [5/30] B05 → 3  EV=3.08
  [6/30] B06 → 1  EV=1.01
  [7/30] B07 → 3  EV=3.00
  [8/30] B08 → 7  EV=5.92
  [9/30] B09 → 3  EV=3.01
  [10/30] B10 → 7  EV=6.62
  [11/30] B11 → 6  EV=5.92
  [12/30] B12 → 7  EV=7.00
  [13/30] B13 → 3  EV=2.97
  [14/30] B14 → 3  EV=3.09
  [15/30] B15 → 1  EV=1.02
  [16/30] B16 → 1  EV=1.12
  [17/30] B17 → 3  EV=3.05
  [18/30] B18 → 7  EV=5.16
  [19/30] B19 → 7  EV=6.60
  [20/30] B20 → 3  EV=3.13
  [21/30] B21 → 1  EV=1.51
  [22/30] B22 → 1  EV=3.81
  [23/30] B23 → 7  EV=5.06
  [24/30] B24 → 3  EV=3.00
  [25/30] B25 → 1  EV=1.02
  [26/30] B26 → 7  EV=6.76
  [27/30] B27 → 1  EV=1.03
  [28/30] B28 → 3  EV=2.55
  [29/30] B29 → 1  EV=1.15
  [30/30] B30 → 7  EV=7.00

============================================================
Valid responses: 30/30
Mean EV: 3.52 (4.0 = no preference)
Mean entropy: 0.401 / 1.946

Trait preferences (mean endorsement, >4 = high trait):
  A: 3.72 (n=12)
  C: 4.38 (n=12)
  E: 4.63 (n=12)
  N: 3.16 (n=12)
  O: 4.10 (n=12)

Completed 30 new prompts in 36s (0.8/sec)
Results saved to results/gemma3-4b_gfc30_neutral-respondent.json
Model:    qwen2.5:3b
Pairs:    30 / 30
Personas: 50 (synthetic (instruments/synthetic_personas.json))
Total:    1500 prompts
Mode:     remote (Orin)

Connected to Orin server.

  [1/1500] B01 → 1  EV=1.90
  [2/1500] B02 → 1  EV=1.11
  [3/1500] B03 → 1  EV=1.07
  [4/1500] B04 → 1  EV=3.78
  [5/1500] B05 → 7  EV=6.17
  [6/1500] B06 → 7  EV=4.51
  [7/1500] B07 → 7  EV=6.03
  [8/1500] B08 → 1  EV=3.86
  [9/1500] B09 → 7  EV=6.62
  [10/1500] B10 → 1  EV=1.62
  [11/1500] B11 → 7  EV=6.08
  [12/1500] B12 → 5  EV=3.83
  [13/1500] B13 → 7  EV=6.27
  [14/1500] B14 → 7  EV=6.36
  [15/1500] B15 → 7  EV=4.05
  [16/1500] B16 → 7  EV=6.12
  [17/1500] B17 → 7  EV=5.42
  [18/1500] B18 → 1  EV=3.12
  [19/1500] B19 → 1  EV=1.67
  [20/1500] B20 → 7  EV=4.75
  [21/1500] B21 → 1  EV=2.32
  [22/1500] B22 → 7  EV=6.86
  [23/1500] B23 → 7  EV=6.95
  [24/1500] B24 → 1  EV=2.50
  [25/1500] B25 → 1  EV=2.80
  [26/1500] B26 → 7  EV=6.39
  [27/1500] B27 → 7  EV=5.95
  [28/1500] B28 → 1  EV=1.78
  [29/1500] B29 → 1  EV=2.88
  [30/1500] B30 → 1  EV=3.17
  [31/1500] B01 → 2  EV=2.61
  [32/1500] B02 → 2  EV=3.43
  [33/1500] B03 → 1  EV=1.01
  [34/1500] B04 → 2  EV=3.75
  [35/1500] B05 → 1  EV=2.54
  [36/1500] B06 → 1  EV=3.36
  [37/1500] B07 → 1  EV=1.15
  [38/1500] B08 → 1  EV=1.00
  [39/1500] B09 → 1  EV=1.76
  [40/1500] B10 → 1  EV=1.05
  [41/1500] B11 → 7  EV=6.67
  [42/1500] B12 → 2  EV=2.72
  [43/1500] B13 → 7  EV=4.57
  [44/1500] B14 → 1  EV=3.20
  [45/1500] B15 → 2  EV=2.22
  [46/1500] B16 → 1  EV=3.18
  [47/1500] B17 → 7  EV=6.03
  [48/1500] B18 → 1  EV=1.21
  [49/1500] B19 → 2  EV=1.64
  [50/1500] B20 → 7  EV=5.00
  [51/1500] B21 → 3  EV=2.67
  [52/1500] B22 → 2  EV=2.85
  [53/1500] B23 → 7  EV=4.97
  [54/1500] B24 → 1  EV=1.01
  [55/1500] B25 → 1  EV=1.82
  [56/1500] B26 → 1  EV=2.99
  [57/1500] B27 → 2  EV=1.78
  [58/1500] B28 → 2  EV=2.02
  [59/1500] B29 → 1  EV=1.01
  [60/1500] B30 → 1  EV=1.01
  [61/1500] B01 → 1  EV=1.87
  [62/1500] B02 → 1  EV=2.77
  [63/1500] B03 → 7  EV=4.22
  [64/1500] B04 → 7  EV=5.01
  [65/1500] B05 → 7  EV=6.92
  [66/1500] B06 → 7  EV=6.85
  [67/1500] B07 → 7  EV=6.34
  [68/1500] B08 → 1  EV=1.80
  [69/1500] B09 → 7  EV=5.99
  [70/1500] B10 → 2  EV=2.80
  [71/1500] B11 → 7  EV=6.22
  [72/1500] B12 → 7  EV=6.48
  [73/1500] B13 → 7  EV=5.12
  [74/1500] B14 → 7  EV=6.77
  [75/1500] B15 → 7  EV=4.87
  [76/1500] B16 → 7  EV=5.81
  [77/1500] B17 → 7  EV=5.67
  [78/1500] B18 → 1  EV=2.29
  [79/1500] B19 → 1  EV=1.95
  [80/1500] B20 → 7  EV=5.27
  [81/1500] B21 → 2  EV=2.61
  [82/1500] B22 → 7  EV=6.95
  [83/1500] B23 → 1  EV=1.86
  [84/1500] B24 → 7  EV=5.55
  [85/1500] B25 → 7  EV=5.38
  [86/1500] B26 → 7  EV=6.46
  [87/1500] B27 → 7  EV=5.92
  [88/1500] B28 → 7  EV=6.68
  [89/1500] B29 → 7  EV=6.45
  [90/1500] B30 → 1  EV=2.33
  [91/1500] B01 → 1  EV=1.15
  [92/1500] B02 → 1  EV=1.00
  [93/1500] B03 → 1  EV=2.88
  [94/1500] B04 → 1  EV=1.01
  [95/1500] B05 → 3  EV=3.38
  [96/1500] B06 → 1  EV=1.34
  [97/1500] B07 → 1  EV=1.24
  [98/1500] B08 → 1  EV=2.93
  [99/1500] B09 → 1  EV=1.20
  [100/1500] B10 → 2  EV=2.22

  Checkpoint: 100/1500 (1.3 prompts/sec)

  [101/1500] B11 → 7  EV=6.95
  [102/1500] B12 → 3  EV=2.84
  [103/1500] B13 → 2  EV=2.24
  [104/1500] B14 → 1  EV=1.06
  [105/1500] B15 → 1  EV=2.86
  [106/1500] B16 → 7  EV=5.25
  [107/1500] B17 → 7  EV=4.23
  [108/1500] B18 → 1  EV=1.21
  [109/1500] B19 → 1  EV=1.77
  [110/1500] B20 → 2  EV=3.12
  [111/1500] B21 → 3  EV=2.71
  [112/1500] B22 → 2  EV=3.00
  [113/1500] B23 → 1  EV=1.22
  [114/1500] B24 → 1  EV=1.01
  [115/1500] B25 → 1  EV=1.37
  [116/1500] B26 → 1  EV=2.16
  [117/1500] B27 → 1  EV=1.02
  [118/1500] B28 → 2  EV=1.65
  [119/1500] B29 → 1  EV=1.00
  [120/1500] B30 → 1  EV=1.00
  [121/1500] B01 → 7  EV=4.04
  [122/1500] B02 → 7  EV=6.90
  [123/1500] B03 → 1  EV=1.01
  [124/1500] B04 → 7  EV=6.81
  [125/1500] B05 → 7  EV=6.99
  [126/1500] B06 → 7  EV=6.09
  [127/1500] B07 → 7  EV=5.47
  [128/1500] B08 → 1  EV=1.03
  [129/1500] B09 → 7  EV=5.64
  [130/1500] B10 → 7  EV=6.39
  [131/1500] B11 → 7  EV=7.00
  [132/1500] B12 → 7  EV=5.75
  [133/1500] B13 → 7  EV=6.95
  [134/1500] B14 → 7  EV=5.66
  [135/1500] B15 → 7  EV=6.82
  [136/1500] B16 → 7  EV=6.68
  [137/1500] B17 → 7  EV=6.57
  [138/1500] B18 → 7  EV=5.21
  [139/1500] B19 → 1  EV=2.75
  [140/1500] B20 → 7  EV=4.80
  [141/1500] B21 → 7  EV=6.08
  [142/1500] B22 → 7  EV=6.99
  [143/1500] B23 → 1  EV=1.99
  [144/1500] B24 → 7  EV=5.30
  [145/1500] B25 → 1  EV=2.04
  [146/1500] B26 → 7  EV=6.83
  [147/1500] B27 → 7  EV=6.94
  [148/1500] B28 → 7  EV=6.39
  [149/1500] B29 → 7  EV=5.62
  [150/1500] B30 → 1  EV=3.79
  [151/1500] B01 → 1  EV=1.61
  [152/1500] B02 → 1  EV=1.39
  [153/1500] B03 → 1  EV=1.00
  [154/1500] B04 → 1  EV=1.00
  [155/1500] B05 → 3  EV=3.56
  [156/1500] B06 → 1  EV=1.04
  [157/1500] B07 → 1  EV=1.09
  [158/1500] B08 → 1  EV=2.94
  [159/1500] B09 → 1  EV=2.13
  [160/1500] B10 → 1  EV=1.57
  [161/1500] B11 → 1  EV=2.35
  [162/1500] B12 → 1  EV=1.38
  [163/1500] B13 → 1  EV=1.77
  [164/1500] B14 → 1  EV=1.13
  [165/1500] B15 → 1  EV=1.83
  [166/1500] B16 → 5  EV=4.28
  [167/1500] B17 → 1  EV=1.95
  [168/1500] B18 → 5  EV=3.28
  [169/1500] B19 → 1  EV=1.53
  [170/1500] B20 → 7  EV=3.90
  [171/1500] B21 → 1  EV=1.90
  [172/1500] B22 → 2  EV=2.71
  [173/1500] B23 → 1  EV=1.16
  [174/1500] B24 → 1  EV=1.02
  [175/1500] B25 → 1  EV=1.30
  [176/1500] B26 → 7  EV=4.15
  [177/1500] B27 → 1  EV=1.05
  [178/1500] B28 → 1  EV=1.05
  [179/1500] B29 → 1  EV=1.14
  [180/1500] B30 → 1  EV=1.00
  [181/1500] B01 → 1  EV=2.84
  [182/1500] B02 → 1  EV=1.08
  [183/1500] B03 → 1  EV=3.37
  [184/1500] B04 → 1  EV=2.96
  [185/1500] B05 → 7  EV=4.63
  [186/1500] B06 → 7  EV=7.00
  [187/1500] B07 → 7  EV=4.20
  [188/1500] B08 → 1  EV=3.71
  [189/1500] B09 → 7  EV=5.13
  [190/1500] B10 → 7  EV=5.91
  [191/1500] B11 → 7  EV=7.00
  [192/1500] B12 → 1  EV=3.80
  [193/1500] B13 → 5  EV=5.43
  [194/1500] B14 → 7  EV=5.95
  [195/1500] B15 → 7  EV=5.00
  [196/1500] B16 → 7  EV=6.29
  [197/1500] B17 → 7  EV=4.87
  [198/1500] B18 → 5  EV=5.29
  [199/1500] B19 → 1  EV=1.99
  [200/1500] B20 → 1  EV=1.61

  Checkpoint: 200/1500 (1.4 prompts/sec)

  [201/1500] B21 → 1  EV=1.52
  [202/1500] B22 → 7  EV=4.73
  [203/1500] B23 → 1  EV=1.06
  [204/1500] B24 → 7  EV=4.59
  [205/1500] B25 → 7  EV=4.21
  [206/1500] B26 → 7  EV=6.95
  [207/1500] B27 → 7  EV=6.03
  [208/1500] B28 → 1  EV=3.50
