Model:    phi4-mini:latest
  [1491/12000] B21 → 6  EV=3.93
  [1492/12000] B22 → 6  EV=4.77
  [1493/12000] B23 → 1  EV=2.30
  [1494/12000] B24 → 1  EV=2.70
  [1495/12000] B25 → 1  EV=3.20
  [1496/12000] B26 → 1  EV=2.33
  [1497/12000] B27 → 1  EV=2.30
  [1498/12000] B28 → 3  EV=3.29
  [1499/12000] B29 → 1  EV=1.30
  [1500/12000] B30 → 1  EV=2.24

  Checkpoint: 1500/12000 (1.0 prompts/sec)

  [1501/12000] B01 → 3  EV=3.01
  [1502/12000] B02 → 1  EV=2.78
  [1503/12000] B03 → 1  EV=2.40
  [1504/12000] B04 → 1  EV=2.30
  [1505/12000] B05 → 1  EV=2.16
  [1506/12000] B06 → 1  EV=1.71
  [1507/12000] B07 → 4  EV=3.06
  [1508/12000] B08 → 1  EV=2.80
  [1509/12000] B09 → 1  EV=3.03
  [1510/12000] B10 → 1  EV=2.71
  [1511/12000] B11 → 1  EV=2.65
  [1512/12000] B12 → 1  EV=2.93
  [1513/12000] B13 → 1  EV=2.03
  [1514/12000] B14 → 1  EV=2.29
  [1515/12000] B15 → 1  EV=2.51
  [1516/12000] B16 → 1  EV=2.01
  [1517/12000] B17 → 4  EV=4.07
  [1518/12000] B18 → 1  EV=2.28
  [1519/12000] B19 → 1  EV=2.42
  [1520/12000] B20 → 4  EV=3.29
  [1521/12000] B21 → 6  EV=3.45
  [1522/12000] B22 → 1  EV=3.40
  [1523/12000] B23 → 1  EV=2.68
  [1524/12000] B24 → 1  EV=3.02
  [1525/12000] B25 → 1  EV=2.60
  [1526/12000] B26 → 1  EV=2.74
  [1527/12000] B27 → 1  EV=2.45
  [1528/12000] B28 → 1  EV=2.48
  [1529/12000] B29 → 1  EV=2.66
  [1530/12000] B30 → 1  EV=2.73
  [1531/12000] B01 → 1  EV=3.45
  [1532/12000] B02 → 1  EV=2.60
  [1533/12000] B03 → 1  EV=2.09
  [1534/12000] B04 → 4  EV=3.52
  [1535/12000] B05 → 4  EV=3.69
  [1536/12000] B06 → 1  EV=2.19
  [1537/12000] B07 → 4  EV=3.26
  [1538/12000] B08 → 1  EV=3.09
  [1539/12000] B09 → 1  EV=3.06
  [1540/12000] B10 → 4  EV=3.58
  [1541/12000] B11 → 6  EV=3.82
  [1542/12000] B12 → 4  EV=3.83
  [1543/12000] B13 → 6  EV=4.80
  [1544/12000] B14 → 4  EV=2.95
  [1545/12000] B15 → 4  EV=3.75
  [1546/12000] B16 → 1  EV=3.08
  [1547/12000] B17 → 6  EV=4.10
  [1548/12000] B18 → 1  EV=2.07
  [1549/12000] B19 → 1  EV=3.40
  [1550/12000] B20 → 1  EV=2.49
  [1551/12000] B21 → 1  EV=2.91
  [1552/12000] B22 → 1  EV=3.53
  [1553/12000] B23 → 1  EV=3.22
  [1554/12000] B24 → 4  EV=3.53
  [1555/12000] B25 → 1  EV=2.81
  [1556/12000] B26 → 1  EV=3.05
  [1557/12000] B27 → 1  EV=3.20
  [1558/12000] B28 → 3  EV=3.38
  [1559/12000] B29 → 1  EV=3.46
  [1560/12000] B30 → 1  EV=3.18
  [1561/12000] B01 → 6  EV=5.48
  [1562/12000] B02 → 6  EV=5.22
  [1563/12000] B03 → 6  EV=4.23
  [1564/12000] B04 → 6  EV=4.77
  [1565/12000] B05 → 4  EV=3.05
  [1566/12000] B06 → 1  EV=1.54
  [1567/12000] B07 → 4  EV=3.45
  [1568/12000] B08 → 4  EV=4.22
  [1569/12000] B09 → 4  EV=3.62
  [1570/12000] B10 → 3  EV=4.14
  [1571/12000] B11 → 6  EV=4.33
  [1572/12000] B12 → 6  EV=5.34
  [1573/12000] B13 → 6  EV=5.69
  [1574/12000] B14 → 3  EV=3.92
  [1575/12000] B15 → 4  EV=3.82
  [1576/12000] B16 → 3  EV=3.45
  [1577/12000] B17 → 6  EV=4.29
  [1578/12000] B18 → 6  EV=4.45
  [1579/12000] B19 → 6  EV=4.58
  [1580/12000] B20 → 3  EV=2.93
  [1581/12000] B21 → 3  EV=3.92
  [1582/12000] B22 → 6  EV=4.55
  [1583/12000] B23 → 4  EV=3.45
  [1584/12000] B24 → 3  EV=3.43
  [1585/12000] B25 → 3  EV=3.21
  [1586/12000] B26 → 4  EV=3.70
  [1587/12000] B27 → 3  EV=3.40
  [1588/12000] B28 → 3  EV=3.99
  [1589/12000] B29 → 6  EV=4.14
  [1590/12000] B30 → 3  EV=4.13
  [1591/12000] B01 → 2  EV=2.93
  [1592/12000] B02 → 1  EV=2.85
  [1593/12000] B03 → 1  EV=2.38
  [1594/12000] B04 → 2  EV=2.15
  [1595/12000] B05 → 4  EV=3.54
  [1596/12000] B06 → 1  EV=1.96
  [1597/12000] B07 → 4  EV=3.04
  [1598/12000] B08 → 1  EV=2.46
  [1599/12000] B09 → 4  EV=3.40
  [1600/12000] B10 → 7  EV=3.87

  Checkpoint: 1600/12000 (1.0 prompts/sec)

  [1601/12000] B11 → 3  EV=3.66
  [1602/12000] B12 → 1  EV=3.46
  [1603/12000] B13 → 6  EV=4.18
  [1604/12000] B14 → 3  EV=3.00
  [1605/12000] B15 → 3  EV=3.29
  [1606/12000] B16 → 3  EV=3.12
  [1607/12000] B17 → 6  EV=4.34
  [1608/12000] B18 → 4  EV=3.49
  [1609/12000] B19 → 1  EV=2.45
  [1610/12000] B20 → 3  EV=2.91
  [1611/12000] B21 → 3  EV=2.91
  [1612/12000] B22 → 4  EV=3.56
  [1613/12000] B23 → 4  EV=3.85
  [1614/12000] B24 → 3  EV=3.56
  [1615/12000] B25 → 1  EV=2.96
  [1616/12000] B26 → 1  EV=3.57
  [1617/12000] B27 → 3  EV=3.03
  [1618/12000] B28 → 3  EV=3.09
  [1619/12000] B29 → 1  EV=3.43
  [1620/12000] B30 → 3  EV=2.58
  [1621/12000] B01 → 6  EV=4.30
  [1622/12000] B02 → 1  EV=3.40
  [1623/12000] B03 → 3  EV=2.78
  [1624/12000] B04 → 7  EV=5.67
  [1625/12000] B05 → 3  EV=3.50
  [1626/12000] B06 → 1  EV=1.51
  [1627/12000] B07 → 1  EV=3.17
  [1628/12000] B08 → 7  EV=4.50
  [1629/12000] B09 → 1  EV=3.03
  [1630/12000] B10 → 6  EV=6.25
  [1631/12000] B11 → 3  EV=3.72
  [1632/12000] B12 → 3  EV=3.91
  [1633/12000] B13 → 6  EV=5.02
  [1634/12000] B14 → 3  EV=3.29
  [1635/12000] B15 → 3  EV=3.88
  [1636/12000] B16 → 1  EV=2.77
  [1637/12000] B17 → 6  EV=4.37
  [1638/12000] B18 → 6  EV=3.85
  [1639/12000] B19 → 1  EV=3.53
  [1640/12000] B20 → 6  EV=3.99
  [1641/12000] B21 → 3  EV=4.42
  [1642/12000] B22 → 6  EV=3.84
  [1643/12000] B23 → 6  EV=5.00
  [1644/12000] B24 → 3  EV=3.54
  [1645/12000] B25 → 6  EV=3.64
  [1646/12000] B26 → 3  EV=3.31
  [1647/12000] B27 → 1  EV=2.71
  [1648/12000] B28 → 3  EV=3.64
  [1649/12000] B29 → 1  EV=3.37
  [1650/12000] B30 → 6  EV=4.59
  [1651/12000] B01 → 6  EV=5.40
  [1652/12000] B02 → 3  EV=3.43
  [1653/12000] B03 → 3  EV=2.87
  [1654/12000] B04 → 6  EV=4.77
  [1655/12000] B05 → 2  EV=2.87
  [1656/12000] B06 → 1  EV=1.39
  [1657/12000] B07 → 1  EV=2.47
  [1658/12000] B08 → 3  EV=3.22
  [1659/12000] B09 → 3  EV=2.88
  [1660/12000] B10 → 6  EV=4.48
  [1661/12000] B11 → 1  EV=1.92
  [1662/12000] B12 → 6  EV=5.24
  [1663/12000] B13 → 6  EV=4.75
  [1664/12000] B14 → 3  EV=3.02
  [1665/12000] B15 → 3  EV=3.43
  [1666/12000] B16 → 3  EV=2.70
  [1667/12000] B17 → 6  EV=5.11
  [1668/12000] B18 → 3  EV=3.52
  [1669/12000] B19 → 3  EV=3.57
  [1670/12000] B20 → 3  EV=3.50
  [1671/12000] B21 → 3  EV=4.37
  [1672/12000] B22 → 6  EV=4.43
  [1673/12000] B23 → 3  EV=3.06
  [1674/12000] B24 → 3  EV=3.18
  [1675/12000] B25 → 3  EV=2.64
  [1676/12000] B26 → 2  EV=3.07
  [1677/12000] B27 → 2  EV=3.43
  [1678/12000] B28 → 3  EV=3.43
  [1679/12000] B29 → 6  EV=5.21
  [1680/12000] B30 → 6  EV=4.09
  [1681/12000] B01 → 6  EV=4.36
  [1682/12000] B02 → 1  EV=1.95
  [1683/12000] B03 → 1  EV=1.81
  [1684/12000] B04 → 1  EV=2.76
  [1685/12000] B05 → 1  EV=1.98
  [1686/12000] B06 → 1  EV=2.40
  [1687/12000] B07 → 1  EV=2.50
  [1688/12000] B08 → 1  EV=3.54
  [1689/12000] B09 → 1  EV=1.87
  [1690/12000] B10 → 1  EV=3.19
  [1691/12000] B11 → 1  EV=1.90
  [1692/12000] B12 → 1  EV=3.08
  [1693/12000] B13 → 2  EV=3.70
  [1694/12000] B14 → 1  EV=2.30
  [1695/12000] B15 → 2  EV=3.15
  [1696/12000] B16 → 2  EV=2.79
  [1697/12000] B17 → 2  EV=3.30
  [1698/12000] B18 → 1  EV=2.77
  [1699/12000] B19 → 1  EV=2.31
  [1700/12000] B20 → 2  EV=2.73

  Checkpoint: 1700/12000 (1.0 prompts/sec)

  [1701/12000] B21 → 1  EV=2.04
  [1702/12000] B22 → 1  EV=2.74
  [1703/12000] B23 → 1  EV=2.31
  [1704/12000] B24 → 1  EV=2.49
  [1705/12000] B25 → 2  EV=3.64
  [1706/12000] B26 → 1  EV=2.31
  [1707/12000] B27 → 1  EV=2.11
  [1708/12000] B28 → 3  EV=3.29
  [1709/12000] B29 → 3  EV=4.01
  [1710/12000] B30 → 1  EV=2.15
  [1711/12000] B01 → 6  EV=5.78
  [1712/12000] B02 → 6  EV=5.76
  [1713/12000] B03 → 3  EV=3.64
  [1714/12000] B04 → 6  EV=5.54
  [1715/12000] B05 → 4  EV=3.18
  [1716/12000] B06 → 1  EV=1.58
  [1717/12000] B07 → 6  EV=4.59
  [1718/12000] B08 → 6  EV=3.92
  [1719/12000] B09 → 4  EV=4.26
  [1720/12000] B10 → 6  EV=5.35
  [1721/12000] B11 → 6  EV=4.75
  [1722/12000] B12 → 6  EV=5.32
  [1723/12000] B13 → 6  EV=5.10
  [1724/12000] B14 → 4  EV=4.31
  [1725/12000] B15 → 6  EV=4.28
  [1726/12000] B16 → 6  EV=4.00
  [1727/12000] B17 → 6  EV=5.09
  [1728/12000] B18 → 6  EV=4.68
  [1729/12000] B19 → 6  EV=4.81
  [1730/12000] B20 → 6  EV=5.04
  [1731/12000] B21 → 6  EV=4.89
  [1732/12000] B22 → 6  EV=5.29
  [1733/12000] B23 → 4  EV=4.48
  [1734/12000] B24 → 4  EV=3.95
  [1735/12000] B25 → 6  EV=4.37
  [1736/12000] B26 → 6  EV=4.28
  [1737/12000] B27 → 6  EV=4.39
  [1738/12000] B28 → 6  EV=4.67
  [1739/12000] B29 → 6  EV=5.55
  [1740/12000] B30 → 6  EV=5.24
  [1741/12000] B01 → 1  EV=3.33
  [1742/12000] B02 → 1  EV=3.78
  [1743/12000] B03 → 1  EV=2.40
  [1744/12000] B04 → 7  EV=4.02
  [1745/12000] B05 → 1  EV=2.06
  [1746/12000] B06 → 1  EV=1.12
  [1747/12000] B07 → 1  EV=2.93
  [1748/12000] B08 → 2  EV=3.82
  [1749/12000] B09 → 1  EV=3.33
  [1750/12000] B10 → 1  EV=3.20
  [1751/12000] B11 → 6  EV=3.66
  [1752/12000] B12 → 1  EV=3.15
  [1753/12000] B13 → 6  EV=5.81
  [1754/12000] B14 → 6  EV=4.31
  [1755/12000] B15 → 1  EV=3.33
  [1756/12000] B16 → 1  EV=3.58
  [1757/12000] B17 → 6  EV=4.88
  [1758/12000] B18 → 1  EV=2.00
  [1759/12000] B19 → 1  EV=1.85
  [1760/12000] B20 → 1  EV=2.66
  [1761/12000] B21 → 1  EV=2.42
  [1762/12000] B22 → 6  EV=4.75
  [1763/12000] B23 → 6  EV=3.78
  [1764/12000] B24 → 1  EV=3.29
  [1765/12000] B25 → 1  EV=1.99
  [1766/12000] B26 → 1  EV=2.91
  [1767/12000] B27 → 1  EV=2.69
  [1768/12000] B28 → 1  EV=3.26
  [1769/12000] B29 → 6  EV=4.14
  [1770/12000] B30 → 1  EV=3.57
  [1771/12000] B01 → 1  EV=2.66
  [1772/12000] B02 → 1  EV=2.42
  [1773/12000] B03 → 1  EV=2.66
  [1774/12000] B04 → 1  EV=2.41
  [1775/12000] B05 → 1  EV=3.07
  [1776/12000] B06 → 1  EV=2.25
  [1777/12000] B07 → 1  EV=2.77
  [1778/12000] B08 → 1  EV=2.52
  [1779/12000] B09 → 1  EV=2.69
  [1780/12000] B10 → 1  EV=2.86
  [1781/12000] B11 → 6  EV=3.38
  [1782/12000] B12 → 1  EV=2.71
  [1783/12000] B13 → 1  EV=2.20
  [1784/12000] B14 → 2  EV=3.25
  [1785/12000] B15 → 3  EV=3.44
  [1786/12000] B16 → 1  EV=2.88
  [1787/12000] B17 → 6  EV=4.19
  [1788/12000] B18 → 1  EV=3.32
  [1789/12000] B19 → 1  EV=1.83
  [1790/12000] B20 → 1  EV=2.70
  [1791/12000] B21 → 1  EV=3.12
  [1792/12000] B22 → 1  EV=3.13
  [1793/12000] B23 → 2  EV=3.56
  [1794/12000] B24 → 1  EV=3.18
  [1795/12000] B25 → 1  EV=2.99
  [1796/12000] B26 → 1  EV=2.98
  [1797/12000] B27 → 1  EV=2.37
  [1798/12000] B28 → 1  EV=2.38
  [1799/12000] B29 → 1  EV=3.34
  [1800/12000] B30 → 1  EV=2.44

  Checkpoint: 1800/12000 (1.0 prompts/sec)

  [1801/12000] B01 → 1  EV=3.01
  [1802/12000] B02 → 1  EV=1.95
  [1803/12000] B03 → 1  EV=2.05
  [1804/12000] B04 → 1  EV=2.29
  [1805/12000] B05 → 1  EV=2.22
  [1806/12000] B06 → 1  EV=1.52
  [1807/12000] B07 → 1  EV=1.82
  [1808/12000] B08 → 1  EV=2.63
  [1809/12000] B09 → 1  EV=2.33
  [1810/12000] B10 → 1  EV=2.45
  [1811/12000] B11 → 1  EV=1.68
  [1812/12000] B12 → 1  EV=2.79
  [1813/12000] B13 → 1  EV=2.82
  [1814/12000] B14 → 1  EV=2.38
  [1815/12000] B15 → 1  EV=2.84
  [1816/12000] B16 → 2  EV=2.87
  [1817/12000] B17 → 1  EV=3.54
  [1818/12000] B18 → 1  EV=2.19
  [1819/12000] B19 → 1  EV=2.33
  [1820/12000] B20 → 1  EV=2.51
  [1821/12000] B21 → 1  EV=2.87
  [1822/12000] B22 → 1  EV=2.87
  [1823/12000] B23 → 1  EV=1.68
  [1824/12000] B24 → 1  EV=1.98
  [1825/12000] B25 → 1  EV=2.17
  [1826/12000] B26 → 1  EV=2.84
  [1827/12000] B27 → 1  EV=2.22
  [1828/12000] B28 → 1  EV=2.49
  [1829/12000] B29 → 1  EV=1.83
  [1830/12000] B30 → 1  EV=1.93
  [1831/12000] B01 → 6  EV=6.02
  [1832/12000] B02 → 6  EV=4.47
  [1833/12000] B03 → 6  EV=4.83
  [1834/12000] B04 → 6  EV=5.01
  [1835/12000] B05 → 6  EV=3.54
  [1836/12000] B06 → 1  EV=1.38
  [1837/12000] B07 → 1  EV=3.16
  [1838/12000] B08 → 7  EV=5.02
  [1839/12000] B09 → 6  EV=4.01
  [1840/12000] B10 → 6  EV=5.65
  [1841/12000] B11 → 6  EV=4.36
  [1842/12000] B12 → 6  EV=4.63
  [1843/12000] B13 → 6  EV=5.61
  [1844/12000] B14 → 6  EV=5.30
  [1845/12000] B15 → 3  EV=3.74
  [1846/12000] B16 → 1  EV=2.87
  [1847/12000] B17 → 6  EV=4.82
  [1848/12000] B18 → 6  EV=4.55
  [1849/12000] B19 → 6  EV=4.81
  [1850/12000] B20 → 6  EV=4.52
  [1851/12000] B21 → 3  EV=3.81
  [1852/12000] B22 → 6  EV=4.86
  [1853/12000] B23 → 6  EV=5.35
  [1854/12000] B24 → 3  EV=3.49
  [1855/12000] B25 → 6  EV=3.35
  [1856/12000] B26 → 3  EV=3.19
  [1857/12000] B27 → 6  EV=3.74
  [1858/12000] B28 → 6  EV=3.80
  [1859/12000] B29 → 6  EV=4.20
  [1860/12000] B30 → 6  EV=5.05
  [1861/12000] B01 → 1  EV=2.31
  [1862/12000] B02 → 1  EV=2.17
  [1863/12000] B03 → 1  EV=1.68
  [1864/12000] B04 → 1  EV=2.31
  [1865/12000] B05 → 1  EV=2.96
  [1866/12000] B06 → 1  EV=2.05
  [1867/12000] B07 → 1  EV=2.98
  [1868/12000] B08 → 1  EV=2.74
  [1869/12000] B09 → 1  EV=3.22
  [1870/12000] B10 → 1  EV=2.93
  [1871/12000] B11 → 1  EV=3.41
  [1872/12000] B12 → 1  EV=2.91
  [1873/12000] B13 → 1  EV=3.79
  [1874/12000] B14 → 7  EV=4.92
  [1875/12000] B15 → 1  EV=3.12
  [1876/12000] B16 → 1  EV=2.62
  [1877/12000] B17 → 1  EV=3.30
  [1878/12000] B18 → 1  EV=3.53
  [1879/12000] B19 → 1  EV=2.07
  [1880/12000] B20 → 1  EV=2.84
  [1881/12000] B21 → 1  EV=2.55
  [1882/12000] B22 → 1  EV=3.21
  [1883/12000] B23 → 1  EV=2.12
  [1884/12000] B24 → 1  EV=2.48
  [1885/12000] B25 → 1  EV=2.89
  [1886/12000] B26 → 1  EV=3.19
  [1887/12000] B27 → 1  EV=3.02
  [1888/12000] B28 → 1  EV=3.06
  [1889/12000] B29 → 1  EV=3.49
  [1890/12000] B30 → 1  EV=2.28
  [1891/12000] B01 → 6  EV=4.67
  [1892/12000] B02 → 6  EV=5.02
  [1893/12000] B03 → 3  EV=3.38
  [1894/12000] B04 → 6  EV=4.77
  [1895/12000] B05 → 3  EV=3.49
  [1896/12000] B06 → 1  EV=2.17
  [1897/12000] B07 → 4  EV=3.36
  [1898/12000] B08 → 1  EV=3.03
  [1899/12000] B09 → 3  EV=3.63
  [1900/12000] B10 → 1  EV=3.82

  Checkpoint: 1900/12000 (1.0 prompts/sec)

  [1901/12000] B11 → 3  EV=3.67
  [1902/12000] B12 → 1  EV=3.94
  [1903/12000] B13 → 6  EV=5.40
  [1904/12000] B14 → 6  EV=4.05
  [1905/12000] B15 → 3  EV=3.38
  [1906/12000] B16 → 1  EV=2.60
  [1907/12000] B17 → 6  EV=4.51
  [1908/12000] B18 → 6  EV=4.18
  [1909/12000] B19 → 6  EV=3.87
  [1910/12000] B20 → 1  EV=2.37
  [1911/12000] B21 → 3  EV=3.72
  [1912/12000] B22 → 1  EV=3.08
  [1913/12000] B23 → 6  EV=4.56
  [1914/12000] B24 → 4  EV=3.63
  [1915/12000] B25 → 6  EV=3.45
  [1916/12000] B26 → 1  EV=2.99
  [1917/12000] B27 → 4  EV=3.44
  [1918/12000] B28 → 3  EV=3.55
  [1919/12000] B29 → 6  EV=4.56
  [1920/12000] B30 → 3  EV=3.40
  [1921/12000] B01 → 1  EV=3.53
  [1922/12000] B02 → 1  EV=3.43
  [1923/12000] B03 → 4  EV=3.71
  [1924/12000] B04 → 1  EV=2.98
  [1925/12000] B05 → 1  EV=2.48
  [1926/12000] B06 → 1  EV=2.41
  [1927/12000] B07 → 1  EV=2.38
  [1928/12000] B08 → 1  EV=2.51
  [1929/12000] B09 → 1  EV=2.76
  [1930/12000] B10 → 1  EV=3.38
  [1931/12000] B11 → 1  EV=3.07
  [1932/12000] B12 → 1  EV=3.23
  [1933/12000] B13 → 1  EV=3.27
  [1934/12000] B14 → 1  EV=3.42
  [1935/12000] B15 → 1  EV=2.94
  [1936/12000] B16 → 1  EV=2.70
  [1937/12000] B17 → 6  EV=3.86
  [1938/12000] B18 → 1  EV=2.55
  [1939/12000] B19 → 1  EV=2.31
  [1940/12000] B20 → 1  EV=2.91
  [1941/12000] B21 → 1  EV=2.15
  [1942/12000] B22 → 1  EV=2.13
  [1943/12000] B23 → 6  EV=4.15
  [1944/12000] B24 → 1  EV=2.90
  [1945/12000] B25 → 1  EV=2.48
  [1946/12000] B26 → 1  EV=3.05
  [1947/12000] B27 → 1  EV=2.26
  [1948/12000] B28 → 1  EV=2.71
  [1949/12000] B29 → 1  EV=2.61
  [1950/12000] B30 → 1  EV=2.56
  [1951/12000] B01 → 7  EV=4.91
  [1952/12000] B02 → 1  EV=2.40
  [1953/12000] B03 → 1  EV=2.63
  [1954/12000] B04 → 1  EV=2.53
  [1955/12000] B05 → 1  EV=2.56
  [1956/12000] B06 → 1  EV=1.06
  [1957/12000] B07 → 1  EV=2.56
  [1958/12000] B08 → 1  EV=2.22
  [1959/12000] B09 → 1  EV=3.22
  [1960/12000] B10 → 7  EV=4.29
  [1961/12000] B11 → 2  EV=3.61
  [1962/12000] B12 → 7  EV=3.97
  [1963/12000] B13 → 2  EV=3.76
  [1964/12000] B14 → 1  EV=2.24
  [1965/12000] B15 → 2  EV=3.73
  [1966/12000] B16 → 1  EV=2.69
  [1967/12000] B17 → 7  EV=3.92
  [1968/12000] B18 → 1  EV=3.41
  [1969/12000] B19 → 1  EV=2.95
  [1970/12000] B20 → 1  EV=3.54
  [1971/12000] B21 → 1  EV=3.71
  [1972/12000] B22 → 1  EV=3.29
  [1973/12000] B23 → 1  EV=2.32
  [1974/12000] B24 → 1  EV=3.56
  [1975/12000] B25 → 1  EV=3.75
  [1976/12000] B26 → 1  EV=3.14
  [1977/12000] B27 → 1  EV=2.86
  [1978/12000] B28 → 2  EV=3.28
  [1979/12000] B29 → 1  EV=1.70
  [1980/12000] B30 → 1  EV=3.10
  [1981/12000] B01 → 1  EV=2.17
  [1982/12000] B02 → 1  EV=3.09
  [1983/12000] B03 → 1  EV=3.51
  [1984/12000] B04 → 1  EV=2.24
  [1985/12000] B05 → 1  EV=2.24
  [1986/12000] B06 → 1  EV=4.10
  [1987/12000] B07 → 1  EV=3.25
  [1988/12000] B08 → 1  EV=2.67
  [1989/12000] B09 → 1  EV=3.81
  [1990/12000] B10 → 1  EV=2.88
  [1991/12000] B11 → 1  EV=3.57
  [1992/12000] B12 → 1  EV=2.98
  [1993/12000] B13 → 4  EV=4.27
  [1994/12000] B14 → 1  EV=3.11
  [1995/12000] B15 → 1  EV=3.49
  [1996/12000] B16 → 1  EV=3.21
  [1997/12000] B17 → 6  EV=4.33
  [1998/12000] B18 → 7  EV=4.42
  [1999/12000] B19 → 1  EV=2.28
  [2000/12000] B20 → 7  EV=4.13

  Checkpoint: 2000/12000 (1.0 prompts/sec)

  [2001/12000] B21 → 2  EV=3.60
  [2002/12000] B22 → 7  EV=4.29
  [2003/12000] B23 → 7  EV=5.07
  [2004/12000] B24 → 1  EV=2.65
  [2005/12000] B25 → 1  EV=3.29
  [2006/12000] B26 → 1  EV=3.89
  [2007/12000] B27 → 1  EV=3.68
  [2008/12000] B28 → 1  EV=2.66
  [2009/12000] B29 → 1  EV=3.05
  [2010/12000] B30 → 1  EV=2.63
  [2011/12000] B01 → 6  EV=6.16
  [2012/12000] B02 → 6  EV=6.32
  [2013/12000] B03 → 6  EV=5.71
  [2014/12000] B04 → 6  EV=5.93
  [2015/12000] B05 → 6  EV=4.22
  [2016/12000] B06 → 1  EV=1.34
  [2017/12000] B07 → 1  EV=3.22
  [2018/12000] B08 → 7  EV=4.99
  [2019/12000] B09 → 6  EV=4.64
  [2020/12000] B10 → 6  EV=6.06
  [2021/12000] B11 → 6  EV=4.75
  [2022/12000] B12 → 6  EV=6.11
  [2023/12000] B13 → 6  EV=5.87
  [2024/12000] B14 → 6  EV=6.07
  [2025/12000] B15 → 6  EV=3.77
  [2026/12000] B16 → 6  EV=3.98
  [2027/12000] B17 → 6  EV=5.20
  [2028/12000] B18 → 6  EV=4.53
  [2029/12000] B19 → 6  EV=5.00
  [2030/12000] B20 → 1  EV=3.07
  [2031/12000] B21 → 6  EV=4.85
  [2032/12000] B22 → 6  EV=5.86
  [2033/12000] B23 → 6  EV=5.75
  [2034/12000] B24 → 6  EV=3.84
  [2035/12000] B25 → 6  EV=4.13
  [2036/12000] B26 → 6  EV=3.97
  [2037/12000] B27 → 1  EV=3.62
  [2038/12000] B28 → 6  EV=4.42
  [2039/12000] B29 → 6  EV=5.64
  [2040/12000] B30 → 6  EV=5.47
  [2041/12000] B01 → 6  EV=5.67
  [2042/12000] B02 → 6  EV=5.97
  [2043/12000] B03 → 6  EV=4.20
  [2044/12000] B04 → 6  EV=5.37
  [2045/12000] B05 → 1  EV=3.25
  [2046/12000] B06 → 1  EV=1.39
  [2047/12000] B07 → 1  EV=2.85
  [2048/12000] B08 → 1  EV=3.85
  [2049/12000] B09 → 1  EV=3.50
  [2050/12000] B10 → 1  EV=3.33
  [2051/12000] B11 → 1  EV=1.77
  [2052/12000] B12 → 1  EV=4.07
  [2053/12000] B13 → 6  EV=5.38
  [2054/12000] B14 → 1  EV=3.88
  [2055/12000] B15 → 1  EV=3.42
  [2056/12000] B16 → 1  EV=3.11
  [2057/12000] B17 → 6  EV=4.27
  [2058/12000] B18 → 6  EV=4.51
  [2059/12000] B19 → 1  EV=3.63
  [2060/12000] B20 → 6  EV=4.03
  [2061/12000] B21 → 3  EV=3.71
  [2062/12000] B22 → 6  EV=4.50
  [2063/12000] B23 → 6  EV=4.35
  [2064/12000] B24 → 6  EV=3.75
  [2065/12000] B25 → 1  EV=3.34
  [2066/12000] B26 → 2  EV=2.95
  [2067/12000] B27 → 6  EV=3.65
  [2068/12000] B28 → 6  EV=3.79
  [2069/12000] B29 → 6  EV=4.29
  [2070/12000] B30 → 6  EV=4.54
  [2071/12000] B01 → 6  EV=4.86
  [2072/12000] B02 → 6  EV=5.70
  [2073/12000] B03 → 6  EV=4.55
  [2074/12000] B04 → 6  EV=5.42
  [2075/12000] B05 → 1  EV=2.10
  [2076/12000] B06 → 1  EV=1.31
  [2077/12000] B07 → 1  EV=3.15
  [2078/12000] B08 → 6  EV=5.06
  [2079/12000] B09 → 6  EV=3.83
  [2080/12000] B10 → 6  EV=5.54
  [2081/12000] B11 → 1  EV=2.10
  [2082/12000] B12 → 6  EV=5.71
  [2083/12000] B13 → 6  EV=5.70
  [2084/12000] B14 → 6  EV=4.99
  [2085/12000] B15 → 6  EV=3.69
  [2086/12000] B16 → 6  EV=4.08
  [2087/12000] B17 → 6  EV=4.50
  [2088/12000] B18 → 6  EV=4.13
  [2089/12000] B19 → 6  EV=4.35
  [2090/12000] B20 → 1  EV=2.52
  [2091/12000] B21 → 1  EV=3.88
  [2092/12000] B22 → 6  EV=4.84
  [2093/12000] B23 → 6  EV=5.57
  [2094/12000] B24 → 3  EV=3.72
  [2095/12000] B25 → 1  EV=2.21
  [2096/12000] B26 → 2  EV=3.34
  [2097/12000] B27 → 1  EV=3.33
  [2098/12000] B28 → 6  EV=3.95
  [2099/12000] B29 → 6  EV=5.47
  [2100/12000] B30 → 6  EV=5.14

  Checkpoint: 2100/12000 (1.0 prompts/sec)

  [2101/12000] B01 → 3  EV=3.45
  [2102/12000] B02 → 6  EV=3.97
  [2103/12000] B03 → 4  EV=3.09
  [2104/12000] B04 → 3  EV=3.43
  [2105/12000] B05 → 4  EV=3.80
  [2106/12000] B06 → 1  EV=2.63
  [2107/12000] B07 → 4  EV=3.45
  [2108/12000] B08 → 1  EV=2.92
  [2109/12000] B09 → 4  EV=3.84
  [2110/12000] B10 → 6  EV=4.57
  [2111/12000] B11 → 1  EV=2.96
  [2112/12000] B12 → 4  EV=4.03
  [2113/12000] B13 → 3  EV=3.17
  [2114/12000] B14 → 3  EV=2.91
  [2115/12000] B15 → 3  EV=3.64
  [2116/12000] B16 → 3  EV=3.28
